segment,recency(mean),frequency(mean),monetary(mean),segment(count)
about_to_sleep,114.03164942178941,2.4065733414485697,361.6493730979915,1643
at_Risk,242.32899746192894,4.470177664974619,648.325038071066,3152
cant_loose,235.15912897822446,10.716917922948074,1481.652445561139,1194
champions,17.1421875,8.965104166666666,1410.7089375,1920
hibernating,247.42630259125104,2.391473948174979,362.58329896907213,3589
loyal_customers,82.55792592592593,8.356444444444444,1216.2572237037036,3375
need_attention,113.03722084367246,3.739454094292804,553.4366377171216,806
new_customers,17.976225854383358,2.0,344.04949479940564,673
potential_loyalists,36.86974358974359,3.310769230769231,533.7413435897436,2925
promising,58.69461077844311,2.0,334.1533383233533,668
